City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,60.91,55,75,23.02,light intensity shower rain
1,Atuona,PF,-9.8,-139.0333,78.53,77,24,18.41,light rain
2,Salalah,OM,17.0151,54.0924,68.23,77,91,2.82,overcast clouds
3,Hobart,AU,-42.8794,147.3294,65.26,88,75,10.36,broken clouds
4,Tiarei,PF,-17.5333,-149.3333,87.82,76,11,11.52,few clouds
5,Provideniya,RU,64.3833,-173.3,-7.49,71,0,17.9,clear sky
6,Cirebon,ID,-6.7063,108.557,78.91,81,100,2.53,moderate rain
7,Busselton,AU,-33.65,115.3333,62.2,49,34,15.68,scattered clouds
8,Ushuaia,AR,-54.8,-68.3,53.44,75,100,7.83,overcast clouds
9,Yabassi,CM,4.457,9.9682,75.92,89,91,0.29,overcast clouds
10,Victoria,HK,22.2855,114.1577,57.25,69,100,11.01,overcast clouds
11,Sur,OM,22.5667,59.5289,68.36,66,61,9.69,broken clouds
12,Carnarvon,AU,-24.8667,113.6333,78.96,61,1,15.3,clear sky
13,Juneau,US,58.3019,-134.4197,37.4,87,100,16.11,light rain
14,Bredasdorp,ZA,-34.5322,20.0403,70.23,92,91,5.1,overcast clouds
15,Mafinga,TZ,-7.25,35.0667,64.06,92,39,3.53,light rain
16,Saskylakh,RU,71.9167,114.0833,-28.89,100,66,6.78,broken clouds
17,Wokha,IN,26.1,94.2667,35.46,87,0,3.53,clear sky
18,Longyearbyen,SJ,78.2186,15.6401,15.64,57,0,16.11,clear sky
19,Tuktoyaktuk,CA,69.4541,-133.0374,-11.88,97,79,8.37,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,78.8,69,100,3.98,overcast clouds
21,Hilo,US,19.7297,-155.09,88.29,92,37,4.0,light rain
22,Butaritari,KI,3.0707,172.7902,81.81,78,15,18.19,few clouds
23,Upernavik,GL,72.7868,-56.1549,-9.26,96,100,4.68,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,64.9,58,100,5.99,overcast clouds
25,Faanui,PF,-16.4833,-151.75,80.89,70,86,10.76,overcast clouds
26,Vaini,TO,-21.2,-175.2,80.8,79,23,9.15,light rain
27,Salinopolis,BR,-0.6136,-47.3561,77.4,86,97,10.74,heavy intensity rain
28,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,78,54,9.13,broken clouds
