City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,64.76,81,3,2.3,ZA,2023-01-13 21:31:16
1,Bluefields,12.0137,-83.7635,84.27,74,40,9.22,NI,2023-01-13 21:31:16
2,Saint-Joseph,-21.3667,55.6167,75.58,80,96,9.01,RE,2023-01-13 21:31:16
3,Sawtell,-30.3833,153.1,73.42,73,88,5.75,AU,2023-01-13 21:31:17
4,Busselton,-33.65,115.3333,56.03,69,0,13.29,AU,2023-01-13 21:31:17
5,Barrow,71.2906,-156.7887,-2.18,71,0,21.85,US,2023-01-13 21:27:05
6,Selty,57.3132,52.1345,13.15,87,100,13.58,RU,2023-01-13 21:31:18
7,Jamestown,42.097,-79.2353,26.19,72,100,11.5,US,2023-01-13 21:29:05
8,Isangel,-19.55,169.2667,82.51,74,20,2.3,VU,2023-01-13 21:31:19
9,Yellowknife,62.456,-114.3525,-10.44,77,75,8.05,CA,2023-01-13 21:31:19
10,Cape Town,-33.9258,18.4232,68.11,75,20,16.11,ZA,2023-01-13 21:28:48
11,Georgetown,5.4112,100.3354,78.75,94,40,3.44,MY,2023-01-13 21:31:20
12,Tuatapere,-46.1333,167.6833,63.48,59,72,3.09,NZ,2023-01-13 21:31:21
13,Karratha,-20.7377,116.8463,91.72,21,12,16.42,AU,2023-01-13 21:31:21
14,Sitka,57.0531,-135.33,42.69,75,20,9.22,US,2023-01-13 21:31:22
15,Lasa,46.6166,10.7002,38.28,87,37,5.99,IT,2023-01-13 21:31:22
16,Atuona,-9.8,-139.0333,77.68,71,32,8.39,PF,2023-01-13 21:31:23
17,Hofn,64.2539,-15.2082,26.06,81,100,15.21,IS,2023-01-13 21:31:23
18,Pimentel,-6.8367,-79.9342,75.49,64,75,26.46,PE,2023-01-13 21:31:24
19,Nurmijarvi,60.4641,24.8073,37.45,98,100,21.85,FI,2023-01-13 21:31:24
20,Punta Arenas,-53.15,-70.9167,57.31,44,20,42.57,CL,2023-01-13 21:29:14
21,Port Lincoln,-34.7333,135.8667,76.91,55,0,3.22,AU,2023-01-13 21:31:25
22,Butaritari,3.0707,172.7902,80.98,79,71,16.13,KI,2023-01-13 21:31:25
23,Vaini,-21.2,-175.2,86.16,79,40,9.22,TO,2023-01-13 21:31:26
24,Isla Vista,34.4133,-119.861,66.31,63,100,8.05,US,2023-01-13 21:31:27
25,Albany,42.6001,-73.9662,35.38,78,98,1.99,US,2023-01-13 21:31:27
26,Mataura,-46.1927,168.8643,65.46,50,47,1.74,NZ,2023-01-13 21:31:28
27,Grong,64.4654,12.3149,31.28,96,99,1.25,NO,2023-01-13 21:31:29
28,Kapaa,22.0752,-159.319,80.58,67,0,9.22,US,2023-01-13 21:31:29
29,Khatanga,71.9667,102.5,-48.68,100,100,2.53,RU,2023-01-13 21:31:30
30,Khorramshahr,30.4397,48.1664,51.76,100,9,4.61,IR,2023-01-13 21:31:30
31,Saint-Philippe,-21.3585,55.7679,76.59,81,99,10.31,RE,2023-01-13 21:31:31
32,Castro,-24.7911,-50.0119,67.37,97,90,5.44,BR,2023-01-13 21:31:31
33,Adrar,20.5022,-10.0711,64.69,16,1,11.16,MR,2023-01-13 21:31:32
34,Codrington,-38.2667,141.9667,73.69,56,0,9.42,AU,2023-01-13 21:31:32
35,Puerto Ayora,-0.7393,-90.3518,82.36,86,63,4.0,EC,2023-01-13 21:27:59
36,Saa,4.3667,11.45,70.43,32,8,2.66,CM,2023-01-13 21:31:33
37,Esperance,-33.8667,121.9,62.55,62,44,17.74,AU,2023-01-13 21:31:33
38,Namibe,-15.1961,12.1522,74.84,80,64,5.28,AO,2023-01-13 21:31:34
39,Vao,-22.6667,167.4833,77.77,64,84,11.74,NC,2023-01-13 21:31:34
40,Guerrero Negro,27.9769,-114.0611,70.84,33,5,14.14,MX,2023-01-13 21:31:35
41,Culver City,34.0211,-118.3965,69.73,64,0,11.5,US,2023-01-13 21:28:56
42,Bambous Virieux,-20.3428,57.7575,77.25,73,40,4.61,MU,2023-01-13 21:31:35
43,Axim,4.8699,-2.2405,80.17,79,41,8.55,GH,2023-01-13 21:31:36
44,Mahebourg,-20.4081,57.7,77.29,73,40,4.61,MU,2023-01-13 21:31:36
45,Tezu,27.9167,96.1667,56.79,42,92,3.85,IN,2023-01-13 21:32:36
46,Gladstone,-23.85,151.25,71.53,88,100,9.22,AU,2023-01-13 21:32:37
47,Geraldton,-28.7667,114.6,68.41,83,3,16.11,AU,2023-01-13 21:29:17
48,Ushuaia,-54.8,-68.3,53.26,58,40,34.52,AR,2023-01-13 21:32:37
49,Paamiut,61.994,-49.6678,9.16,62,85,14.7,GL,2023-01-13 21:32:38
50,Almaznyy,48.0448,40.045,25.05,93,100,14.97,RU,2023-01-13 21:32:38
51,Krasnyye Barrikady,46.2045,47.8535,19.36,58,40,20.13,RU,2023-01-13 21:32:39
52,Qaanaaq,77.484,-69.3632,1.83,73,100,4.68,GL,2023-01-13 21:32:39
53,Kodiak,57.79,-152.4072,38.71,93,100,12.66,US,2023-01-13 21:32:40
54,Nikolskoye,59.7035,30.7861,33.8,97,100,11.18,RU,2023-01-13 21:32:40
55,Manica,49.0,-1.1667,45.75,91,100,7.72,FR,2023-01-13 21:32:40
56,Muros,42.7762,-9.0603,56.68,93,100,14.36,ES,2023-01-13 21:32:41
57,Okhotsk,59.3833,143.3,-29.72,83,51,16.08,RU,2023-01-13 21:32:41
58,Constitucion,-35.3333,-72.4167,65.66,62,7,15.99,CL,2023-01-13 21:32:42
59,Thompson,55.7435,-97.8558,17.76,93,100,5.75,CA,2023-01-13 21:32:42
60,Sioux Lookout,50.1001,-91.917,12.27,79,100,6.91,CA,2023-01-13 21:32:42
61,Braniewo,54.3797,19.8196,43.09,83,84,16.4,PL,2023-01-13 21:32:43
62,Coihaique,-45.5752,-72.0662,64.35,48,75,8.05,CL,2023-01-13 21:32:43
63,Laguna,38.421,-121.4238,54.05,91,100,16.11,US,2023-01-13 21:32:44
64,Acapulco,16.8634,-99.8901,84.02,58,0,12.66,MX,2023-01-13 21:31:02
65,Ternate,0.8,127.4,80.13,78,97,6.62,ID,2023-01-13 21:32:44
66,Baruun-Urt,46.6806,113.2792,-17.64,91,5,6.67,MN,2023-01-13 21:32:45
67,Tiksi,71.6872,128.8694,-30.78,97,100,8.77,RU,2023-01-13 21:32:45
68,Lompoc,34.6391,-120.4579,64.02,83,75,8.05,US,2023-01-13 21:32:46
69,Cuamba,-14.8031,36.5372,68.47,97,98,2.44,MZ,2023-01-13 21:32:46
70,Gorontalo,0.5412,123.0595,74.35,94,98,2.62,ID,2023-01-13 21:32:46
71,Rikitea,-23.1203,-134.9692,78.26,74,0,16.82,PF,2023-01-13 21:32:47
72,Bluff,-46.6,168.3333,58.21,69,54,2.48,NZ,2023-01-13 21:32:47
73,Mount Gambier,-37.8333,140.7667,77.83,30,3,5.97,AU,2023-01-13 21:30:06
74,Nobeoka,32.5833,131.6667,61.21,97,100,4.12,JP,2023-01-13 21:32:48
75,Port Elizabeth,-33.918,25.5701,69.31,84,0,8.05,ZA,2023-01-13 21:32:48
76,Ribeira Grande,38.5167,-28.7,63.77,94,40,28.01,PT,2023-01-13 21:32:49
77,Katihar,25.5333,87.5833,56.77,59,0,3.09,IN,2023-01-13 21:32:49
78,Hualmay,-11.0964,-77.6139,72.57,72,34,10.71,PE,2023-01-13 21:32:49
79,Abu Kamal,34.4506,40.9171,48.36,52,100,7.56,SY,2023-01-13 21:32:50
80,Avarua,-21.2078,-159.775,80.65,61,20,6.91,CK,2023-01-13 21:32:04
81,Sur,22.5667,59.5289,66.38,52,7,19.48,OM,2023-01-13 21:28:47
82,Fereydun Kenar,36.6864,52.5225,40.32,61,10,3.62,IR,2023-01-13 21:32:51
83,Bilibino,68.0546,166.4372,-25.51,97,84,4.23,RU,2023-01-13 21:32:51
84,New Norfolk,-42.7826,147.0587,69.93,59,0,3.4,AU,2023-01-13 21:32:51
85,Ahipara,-35.1667,173.1667,70.86,69,7,3.96,NZ,2023-01-13 21:32:52
86,Araouane,18.9048,-3.5265,70.21,12,93,9.71,ML,2023-01-13 21:32:52
87,Upernavik,72.7868,-56.1549,0.84,63,100,6.8,GL,2023-01-13 21:32:52
88,Pacifica,37.6138,-122.4869,59.41,93,100,12.66,US,2023-01-13 21:32:53
89,Buritis,-15.6178,-46.4233,73.44,89,100,2.68,BR,2023-01-13 21:32:53
90,Cherskiy,68.75,161.3,-33.38,99,100,2.89,RU,2023-01-13 21:32:54
91,Dunedin,-45.8742,170.5036,60.82,62,15,3.65,NZ,2023-01-13 21:30:55
92,Cravo Norte,6.3017,-70.2041,85.75,51,100,4.54,CO,2023-01-13 21:32:54
93,Kushmurun,52.4503,64.6311,7.79,88,98,8.19,KZ,2023-01-13 21:33:55
94,Pinili,17.9517,120.5278,71.22,81,99,2.59,PH,2023-01-13 21:33:55
95,Batagay-Alyta,67.8006,130.4114,-33.41,100,100,0.76,RU,2023-01-13 21:33:55
96,Dikson,73.5069,80.5464,-34.56,92,16,5.48,RU,2023-01-13 21:33:56
97,Hovd,48.0056,91.6419,-7.33,75,23,1.45,MN,2023-01-13 21:33:56
98,Provideniya,64.3833,-173.3,2.12,91,15,9.73,RU,2023-01-13 21:33:56
99,Cabo San Lucas,22.8909,-109.9124,87.1,57,0,8.05,MX,2023-01-13 21:30:47
100,Tammisaari,59.9736,23.4339,40.1,99,93,16.06,FI,2023-01-13 21:33:57
101,Hilo,19.7297,-155.09,80.33,57,0,5.99,US,2023-01-13 21:32:49
